bairro,lat,lng
Allerton,40.865291666666664,-73.85872714285715
Arden Heights,40.55241,-74.1822525
Arrochar,40.593899523809526,-74.07460047619048
Arverne,40.59185298701299,-73.7948390909091
Astoria,40.764299155555555,-73.92000176666667
Bath Beach,40.60413411764706,-74.00637411764706
Battery Park City,40.709964285714285,-74.016585
Bay Ridge,40.63142361702128,-74.02623751773051
Bay Terrace,40.78066333333334,-73.78305
"Bay Terrace, Staten Island",40.551435,-74.140495
Baychester,40.87361571428572,-73.84296714285713
Bayside,40.759776153846154,-73.76862512820513
Bayswater,40.60571823529411,-73.76258235294118
Bedford-Stuyvesant,40.687198887991386,-73.9398129267636
Belle Harbor,40.57615125,-73.849045
Bellerose,40.731111428571424,-73.7263957142857
Belmont,40.855061666666664,-73.88710875
Bensonhurst,40.612183466666664,-73.9940088
Bergen Beach,40.623371000000006,-73.90920600000001
Boerum Hill,40.68639096045198,-73.98548593220339
Borough Park,40.63727345588235,-73.99703058823529
Breezy Point,40.56573,-73.86990333333334
Briarwood,40.70975517857143,-73.81381392857143
Brighton Beach,40.57841293333333,-73.96129933333333
Bronxdale,40.85473105263158,-73.86628736842106
Brooklyn Heights,40.69479337662337,-73.99432435064935
Brownsville,40.66467426229508,-73.91421426229508
Bull's Head,40.60115,-74.16637166666668
Bushwick,40.69674103042596,-73.92037348478702
Cambria Heights,40.69378230769231,-73.73592038461538
Canarsie,40.638594285714284,-73.9012931292517
Carroll Gardens,40.6806352360515,-73.99616004291845
Castle Hill,40.81688888888888,-73.84700000000001
Castleton Corners,40.6171025,-74.1230075
Chelsea,40.74468665768194,-73.99811000898472
Chinatown,40.71561961956522,-73.99390682065217
City Island,40.84787222222222,-73.78705444444444
Civic Center,40.713855384615385,-74.00362826923077
Claremont Village,40.83918535714286,-73.90927857142857
Clason Point,40.811750476190475,-73.85678952380952
Clifton,40.619166,-74.08156133333334
Clinton Hill,40.688114440559445,-73.96440064685315
Co-op City,40.86481499999999,-73.82324
Cobble Hill,40.687267272727276,-73.99555353535354
College Point,40.78480263157895,-73.84378736842105
Columbia St,40.685023095238094,-74.0024573809524
Concord,40.60201192307692,-74.08418653846154
Concourse,40.8269188,-73.92446939999999
Concourse Village,40.83005375,-73.9178053125
Coney Island,40.57593882352941,-73.98858176470588
Corona,40.7429009375,-73.86100015625
Crown Heights,40.67269851662404,-73.94632447570332
Cypress Hills,40.68219525925925,-73.88409666666666
DUMBO,40.70326583333333,-73.98789888888888
Ditmars Steinway,40.7750295145631,-73.91055352750809
Dongan Hills,40.580395714285714,-74.09334142857142
Douglaston,40.75964125,-73.73612625
Downtown Brooklyn,40.694321927710845,-73.98493807228915
Dyker Heights,40.6240875,-74.0104725
East Elmhurst,40.76278367567568,-73.87868027027028
East Flatbush,40.64900038,-73.93927633999999
East Harlem,40.79614334825425,-73.94228510295434
East Morrisania,40.831259,-73.88883799999999
East New York,40.668212018348626,-73.88419665137614
East Village,40.72676342687534,-73.9838571559633
